symbol,open,high,low,close,volume,timestamp
NIFTY,22899,22902.25,22817.85,22843.45,14474906,2026-04-01T09:15:00.000000Z
NIFTY,22842.95,22851.3,22809,22824.1,8022698,2026-04-01T09:16:00.000000Z
NIFTY,22824.65,22875.6,22823.15,22869.05,6327130,2026-04-01T09:17:00.000000Z
NIFTY,22867.4,22892.5,22863.7,22885.05,4903672,2026-04-01T09:18:00.000000Z
NIFTY,22885.2,22891.15,22879.65,22887,3862231,2026-04-01T09:19:00.000000Z
NIFTY,22888.6,22903.95,22886.5,22894.7,3882278,2026-04-01T09:20:00.000000Z
NIFTY,22897.6,22897.85,22872.55,22887.55,3326394,2026-04-01T09:21:00.000000Z
NIFTY,22886.25,22896.5,22881.65,22893.65,2613234,2026-04-01T09:22:00.000000Z
NIFTY,22892.25,22895.8,22882,22882.8,2312290,2026-04-01T09:23:00.000000Z
NIFTY,22882.6,22900,22880.95,22899.55,2576938,2026-04-01T09:24:00.000000Z
NIFTY,22900,22912.5,22898.25,22905.05,2405223,2026-04-01T09:25:00.000000Z
NIFTY,22906.65,22910.3,22899.35,22900.05,1710747,2026-04-01T09:26:00.000000Z
NIFTY,22900.3,22912.8,22899.95,22906.25,1730763,2026-04-01T09:27:00.000000Z
NIFTY,22906.6,22919.7,22906.6,22919,1904391,2026-04-01T09:28:00.000000Z
NIFTY,22918.55,22930.4,22918.55,22929.75,1902798,2026-04-01T09:29:00.000000Z
NIFTY,22928.55,22937.65,22909.1,22911.45,2742413,2026-04-01T09:30:00.000000Z
NIFTY,22911.35,22913.5,22888.8,22888.8,2705832,2026-04-01T09:31:00.000000Z
NIFTY,22890.4,22890.4,22845.45,22849.55,4542871,2026-04-01T09:32:00.000000Z
NIFTY,22850.95,22860.45,22850.3,22859.35,2074753,2026-04-01T09:33:00.000000Z
NIFTY,22858,22858.5,22847.65,22854.5,1563791,2026-04-01T09:34:00.000000Z
NIFTY,22853.25,22854,22827.85,22837.4,2558295,2026-04-01T09:35:00.000000Z
NIFTY,22836.75,22837.95,22828.75,22832.1,2863305,2026-04-01T09:36:00.000000Z
NIFTY,22832.75,22832.75,22824.15,22826.65,2193433,2026-04-01T09:37:00.000000Z
NIFTY,22827.3,22836.9,22824.55,22836.9,1432887,2026-04-01T09:38:00.000000Z
NIFTY,22835.85,22838.1,22825.55,22828.1,1679071,2026-04-01T09:39:00.000000Z
NIFTY,22828.5,22857.05,22827.4,22854.4,1933988,2026-04-01T09:40:00.000000Z
NIFTY,22854.4,22872.7,22854.1,22872.45,1736866,2026-04-01T09:41:00.000000Z
NIFTY,22871.85,22873.7,22862.45,22863.1,1419174,2026-04-01T09:42:00.000000Z
NIFTY,22862.75,22862.9,22843.4,22845.2,1816906,2026-04-01T09:43:00.000000Z
NIFTY,22845.05,22866.65,22843.15,22854.95,1669799,2026-04-01T09:44:00.000000Z
NIFTY,22851.45,22863.95,22851.35,22858.95,1514496,2026-04-01T09:45:00.000000Z
NIFTY,22858.5,22860.65,22848.5,22849,2009640,2026-04-01T09:46:00.000000Z
NIFTY,22850.4,22865.75,22848.5,22862.95,2163170,2026-04-01T09:47:00.000000Z
NIFTY,22863.15,22879.7,22863.15,22879.7,1512349,2026-04-01T09:48:00.000000Z
NIFTY,22880.4,22898.1,22880.4,22897.55,1824108,2026-04-01T09:49:00.000000Z
NIFTY,22897.75,22903.55,22896.2,22903.55,1231132,2026-04-01T09:50:00.000000Z
NIFTY,22903,22922.1,22902.75,22921.1,2035380,2026-04-01T09:51:00.000000Z
NIFTY,22920.8,22929.25,22919.65,22928.7,1918909,2026-04-01T09:52:00.000000Z
NIFTY,22929,22932.1,22899.8,22902.9,2659475,2026-04-01T09:53:00.000000Z
NIFTY,22902.95,22915.15,22901.65,22915.15,1784231,2026-04-01T09:54:00.000000Z
NIFTY,22914.95,22919.1,22899.6,22901.15,1861461,2026-04-01T09:55:00.000000Z
NIFTY,22900.55,22902.4,22886.3,22886.3,2262695,2026-04-01T09:56:00.000000Z
NIFTY,22886.8,22900.7,22885,22900.7,1251691,2026-04-01T09:57:00.000000Z
NIFTY,22900.7,22900.75,22890.45,22891.6,1645429,2026-04-01T09:58:00.000000Z
NIFTY,22891.9,22895.35,22890.2,22893.15,1251237,2026-04-01T09:59:00.000000Z
NIFTY,22892.9,22905.3,22890.45,22904.35,1727305,2026-04-01T10:00:00.000000Z
NIFTY,22904.7,22916.15,22899.9,22915.75,1411567,2026-04-01T10:01:00.000000Z
NIFTY,22915.35,22922.35,22913.15,22921.05,1208435,2026-04-01T10:02:00.000000Z
NIFTY,22920.95,22935.6,22920.95,22933.55,1475590,2026-04-01T10:03:00.000000Z
NIFTY,22933.25,22941.3,22926.85,22927.15,2279210,2026-04-01T10:04:00.000000Z
NIFTY,22927.55,22932,22924.75,22925.3,1013854,2026-04-01T10:05:00.000000Z
NIFTY,22924.7,22925.25,22911.7,22912.8,1165747,2026-04-01T10:06:00.000000Z
NIFTY,22912.5,22915.7,22909.15,22909.15,1229029,2026-04-01T10:07:00.000000Z
NIFTY,22910,22910,22905.2,22909.05,907896,2026-04-01T10:08:00.000000Z
NIFTY,22909.1,22912.2,22905.1,22906.8,1080256,2026-04-01T10:09:00.000000Z
NIFTY,22907.45,22907.45,22885.75,22886.45,1442905,2026-04-01T10:10:00.000000Z
NIFTY,22886.1,22886.1,22875.4,22875.4,1234971,2026-04-01T10:11:00.000000Z
NIFTY,22875.35,22881.45,22869.05,22876,1263047,2026-04-01T10:12:00.000000Z
NIFTY,22875.7,22876.9,22862.55,22866.2,1015578,2026-04-01T10:13:00.000000Z
NIFTY,22866.95,22870.6,22865.95,22868.85,847353,2026-04-01T10:14:00.000000Z
NIFTY,22867.9,22878.85,22867.75,22871.65,1367914,2026-04-01T10:15:00.000000Z
NIFTY,22870.65,22873.45,22866,22872.55,899431,2026-04-01T10:16:00.000000Z
NIFTY,22872.05,22872.05,22862.35,22862.35,1023813,2026-04-01T10:17:00.000000Z
NIFTY,22863.2,22863.6,22857.4,22858.8,1008471,2026-04-01T10:18:00.000000Z
NIFTY,22858.95,22875.8,22858,22871.15,1675852,2026-04-01T10:19:00.000000Z
NIFTY,22871.7,22878.4,22869.35,22878.2,1078872,2026-04-01T10:20:00.000000Z
NIFTY,22877.7,22879.45,22856.7,22856.7,1540073,2026-04-01T10:21:00.000000Z
NIFTY,22856.3,22856.85,22845,22846.3,1265460,2026-04-01T10:22:00.000000Z
NIFTY,22845.9,22846.2,22822.05,22827.35,1559887,2026-04-01T10:23:00.000000Z
NIFTY,22827.2,22840.2,22825.45,22828.35,1196306,2026-04-01T10:24:00.000000Z
NIFTY,22827.85,22828.15,22796.2,22800.15,1527933,2026-04-01T10:25:00.000000Z
NIFTY,22799.25,22804.35,22790.1,22790.55,1268913,2026-04-01T10:26:00.000000Z
NIFTY,22791,22791.75,22786.45,22789.7,1436398,2026-04-01T10:27:00.000000Z
NIFTY,22790.85,22790.85,22773.15,22781.6,1788485,2026-04-01T10:28:00.000000Z
NIFTY,22781.1,22796.5,22771.65,22796.5,1449274,2026-04-01T10:29:00.000000Z
NIFTY,22797.1,22803.9,22778.35,22798.8,1137082,2026-04-01T10:30:00.000000Z
NIFTY,22800.8,22804,22791.85,22799.15,981935,2026-04-01T10:31:00.000000Z
NIFTY,22799,22815.8,22797.6,22815,819103,2026-04-01T10:32:00.000000Z
NIFTY,22815.2,22816.3,22798,22800.7,976586,2026-04-01T10:33:00.000000Z
NIFTY,22800.1,22804.15,22795.75,22796,782433,2026-04-01T10:34:00.000000Z
NIFTY,22796.4,22807.5,22796.15,22805.3,755803,2026-04-01T10:35:00.000000Z
NIFTY,22806.3,22813.85,22804.85,22813.2,878540,2026-04-01T10:36:00.000000Z
NIFTY,22813.65,22816.4,22810.85,22813.1,1052622,2026-04-01T10:37:00.000000Z
NIFTY,22812.95,22815.65,22806.2,22811.55,978058,2026-04-01T10:38:00.000000Z
NIFTY,22811.6,22813.9,22809.35,22813.8,693770,2026-04-01T10:39:00.000000Z
NIFTY,22813.15,22814.1,22799.45,22803.65,1238987,2026-04-01T10:40:00.000000Z
NIFTY,22803,22806.9,22797.75,22799.2,860377,2026-04-01T10:41:00.000000Z
NIFTY,22798.2,22799.15,22787.35,22793.9,888911,2026-04-01T10:42:00.000000Z
NIFTY,22794.3,22808.25,22793.65,22804.8,838056,2026-04-01T10:43:00.000000Z
NIFTY,22803.8,22815,22802.15,22807.5,1084089,2026-04-01T10:44:00.000000Z
NIFTY,22808.6,22808.6,22800.6,22805.55,690668,2026-04-01T10:45:00.000000Z
NIFTY,22805.75,22806.2,22798.1,22798.1,681623,2026-04-01T10:46:00.000000Z
NIFTY,22798.7,22804.6,22796.6,22804.1,629659,2026-04-01T10:47:00.000000Z
NIFTY,22804.45,22820.25,22804.45,22814.9,887075,2026-04-01T10:48:00.000000Z
NIFTY,22815.6,22815.6,22791.9,22797.15,1573505,2026-04-01T10:49:00.000000Z
NIFTY,22797.6,22799.35,22785.35,22786.65,1077768,2026-04-01T10:50:00.000000Z
NIFTY,22786.45,22796.55,22783.45,22795.4,700377,2026-04-01T10:51:00.000000Z
